create_client,2025-06-07T03:36:45.022860600
create_client,2025-06-07T03:44:56.474496900
create_client,2025-06-07T03:49:06.323818600
create_client,2025-06-07T03:50:07.756764900
create_client,2025-06-07T04:01:44.327895500
create_client,2025-06-07T14:39:15.594840400
add_account_to_client,2025-06-07T14:41:03.466607900
add_account_to_client,2025-06-07T14:47:18.726512500
add_account_to_client,2025-06-07T15:04:01.022850900
create_client,2025-06-07T15:04:39.102822100
show_all_clients,2025-06-07T15:05:15.149365300
show_all_clients,2025-06-07T15:11:02.403548
show_all_clients,2025-06-07T15:14:40.332044700
show_client_accounts,2025-06-07T15:15:28.495594400
show_account_with_maximum_balance,2025-06-07T15:15:52.852621800
show_client_active_inactive_cards,2025-06-07T15:16:15.742150200
send_notification_to_a_client,2025-06-07T15:16:51.502565200
show_client_notifications,2025-06-07T15:17:38.425026700
add_account_to_client,2025-06-07T15:18:15.601067400
transfer_between_accounts,2025-06-07T15:31:52.150976100
check_inactive_accounts,2025-06-07T15:33:07.886134
generate_account_statement,2025-06-07T15:34:17.140801300
generate_account_statement,2025-06-07T15:40:40.237708500
search_transactions_after_date,2025-06-07T15:41:30.748086300
generate_debit_card,2025-06-07T15:42:23.192560100
generate_debit_card,2025-06-07T15:50:43.963554300
generate_debit_card,2025-06-07T15:54:57.281851100
generate_credit_card,2025-06-07T15:56:37.846368100
show_debit_card_payments,2025-06-07T15:57:54.191558600
increase_overdraft_limit,2025-06-07T15:58:33.247410
activate_deactivate_card,2025-06-07T16:06:12.024565100
make_a_transaction,2025-06-07T16:07:40.024071300
search_transactions_on_exact_date,2025-06-07T16:09:29.459480900
repay_credit,2025-06-07T16:10:19.522457800
